date,name,value
2017-04-30,grafana/grafana,14302
2017-05-31,grafana/grafana,14710
2017-06-30,grafana/grafana,15121
2017-07-31,grafana/grafana,15489
2017-08-31,grafana/grafana,15912
2017-09-30,grafana/grafana,16354
2017-10-31,grafana/grafana,16939
2017-11-30,grafana/grafana,17450
2017-12-31,grafana/grafana,17896
2018-01-31,grafana/grafana,18356
2018-02-28,grafana/grafana,18821
2018-03-31,grafana/grafana,19318
2018-04-30,grafana/grafana,19753
2018-05-31,grafana/grafana,20235
2018-06-30,grafana/grafana,20781
2018-07-31,grafana/grafana,21303
2018-08-31,grafana/grafana,21822
2018-09-30,grafana/grafana,22315
2018-10-31,grafana/grafana,22810
2018-11-30,grafana/grafana,23387
2018-12-31,grafana/grafana,24055
2019-01-31,grafana/grafana,24643
2019-02-28,grafana/grafana,25173
2019-03-31,grafana/grafana,25886
2019-04-30,grafana/grafana,26516
2019-05-31,grafana/grafana,27122
2019-06-30,grafana/grafana,27595
2019-07-31,grafana/grafana,28162
2019-08-31,grafana/grafana,28765
2019-09-30,grafana/grafana,29263
2019-10-31,grafana/grafana,29794
2019-11-30,grafana/grafana,30313
2019-12-31,grafana/grafana,30831
2020-01-31,grafana/grafana,31271
2020-02-29,grafana/grafana,31729
2020-03-31,grafana/grafana,32239
2020-04-30,grafana/grafana,32750
2020-05-31,grafana/grafana,33334
2020-06-30,grafana/grafana,33857
2020-07-31,grafana/grafana,34425
2020-08-31,grafana/grafana,34921
2020-09-30,grafana/grafana,35481
2020-10-31,grafana/grafana,35969
2020-11-30,grafana/grafana,36595
2020-12-31,grafana/grafana,37093
2021-01-31,grafana/grafana,37639
2021-02-28,grafana/grafana,38135
2021-03-31,grafana/grafana,38891
2021-04-30,grafana/grafana,39406
2021-05-31,grafana/grafana,39897
2021-06-30,grafana/grafana,40927
2021-07-31,grafana/grafana,41486
2021-08-31,grafana/grafana,41990
2021-09-30,grafana/grafana,42462
2021-10-31,grafana/grafana,42991
2021-11-30,grafana/grafana,43523
2021-12-31,grafana/grafana,44563
2022-01-31,grafana/grafana,45183
2022-02-28,grafana/grafana,45646
2022-03-31,grafana/grafana,46206
2022-04-30,grafana/grafana,46774
2022-05-31,grafana/grafana,47653
2022-06-30,grafana/grafana,48224
2022-07-31,grafana/grafana,48725
2022-08-31,grafana/grafana,49269
2022-09-30,grafana/grafana,49840
2022-10-31,grafana/grafana,50410
2022-11-30,grafana/grafana,51217
2022-12-31,grafana/grafana,51894
2023-01-31,grafana/grafana,52368
2023-02-28,grafana/grafana,52837
2023-03-31,grafana/grafana,53406
2023-04-30,grafana/grafana,53891
2023-05-31,grafana/grafana,54403
2023-06-30,grafana/grafana,54903
2023-07-31,grafana/grafana,55366
2023-08-31,grafana/grafana,55853
2023-09-30,grafana/grafana,56353
2023-10-31,grafana/grafana,56888
2023-11-30,grafana/grafana,57321
2023-12-31,grafana/grafana,57813
2024-01-31,grafana/grafana,58318
2024-02-29,grafana/grafana,58790
2024-03-31,grafana/grafana,59380
2024-04-30,grafana/grafana,59884
2024-05-31,grafana/grafana,60422
2024-06-30,grafana/grafana,60923
2024-07-31,grafana/grafana,61414
2024-08-31,grafana/grafana,63189
2024-09-30,grafana/grafana,63884
2024-10-31,grafana/grafana,64448
2024-11-30,grafana/grafana,65190
2024-12-31,grafana/grafana,65681
2025-01-31,grafana/grafana,65778
2014-06-30,microsoft/typescript,0
2014-07-31,microsoft/typescript,1466
2014-08-31,microsoft/typescript,1729
2014-09-30,microsoft/typescript,1874
2014-10-31,microsoft/typescript,2101
2014-11-30,microsoft/typescript,2514
2014-12-31,microsoft/typescript,2697
2015-01-31,microsoft/typescript,2904
2015-02-28,microsoft/typescript,3074
2015-03-31,microsoft/typescript,3734
2015-04-30,microsoft/typescript,4223
2015-05-31,microsoft/typescript,4665
2015-06-30,microsoft/typescript,4978
2015-07-31,microsoft/typescript,5332
2015-08-31,microsoft/typescript,5680
2015-09-30,microsoft/typescript,6023
2015-10-31,microsoft/typescript,6419
2015-11-30,microsoft/typescript,6948
2015-12-31,microsoft/typescript,7449
2016-01-31,microsoft/typescript,8018
2016-02-29,microsoft/typescript,8570
2016-03-31,microsoft/typescript,9251
2016-04-30,microsoft/typescript,9909
2016-05-31,microsoft/typescript,10542
2016-06-30,microsoft/typescript,11264
2016-07-31,microsoft/typescript,12149
2016-08-31,microsoft/typescript,12862
2016-09-30,microsoft/typescript,13754
2016-10-31,microsoft/typescript,14564
2016-11-30,microsoft/typescript,15343
2016-12-31,microsoft/typescript,16007
2017-01-31,microsoft/typescript,16740
2017-02-28,microsoft/typescript,17556
2017-03-31,microsoft/typescript,18466
2017-04-30,microsoft/typescript,19483
2017-05-31,microsoft/typescript,20349
2017-06-30,microsoft/typescript,21216
2017-07-31,microsoft/typescript,22128
2017-08-31,microsoft/typescript,23132
2017-09-30,microsoft/typescript,23910
2017-10-31,microsoft/typescript,24991
2017-11-30,microsoft/typescript,26010
2017-12-31,microsoft/typescript,26962
2018-01-31,microsoft/typescript,28022
2018-02-28,microsoft/typescript,28934
2018-03-31,microsoft/typescript,29988
2018-04-30,microsoft/typescript,30950
2018-05-31,microsoft/typescript,31954
2018-06-30,microsoft/typescript,33420
